Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos,Name-additional,PrimaryPos,1B,Pos_2B,Pos_3B,C,DH,OF,SP,SS
1,CJ Abrams*,22,WSN,NL,151,614,563,83,138,28,6,18,64,47,4,32,118,0.245,0.3,0.412,0.712,95.0,232,7,13,3,3,2,SS,abramcj01,SS,0,0,0,0,0,0,0,1
2,José Abreu,36,HOU,AL,141,594,540,62,128,23,1,18,90,0,1,42,130,0.237,0.296,0.383,0.68,87.0,207,16,6,0,6,1,"1B,DH",abreujo02,1B,1,0,0,0,1,0,0,0
3,Wilyer Abreu*,24,BOS,AL,28,85,76,10,24,6,0,2,14,3,1,9,23,0.316,0.388,0.474,0.862,132.0,36,0,0,0,0,0,"OF,DH",abreuwi02,OF,0,0,0,0,1,1,0,0
4,Ronald Acuna Jr.,25,ATL,NL,159,735,643,149,217,35,4,41,106,73,14,80,84,0.337,0.416,0.596,1.012,168.0,383,15,9,0,3,3,"OF,DH",acunaro01,OF,0,0,0,0,1,1,0,0
5,Willy Adames,27,MIL,NL,149,638,553,73,120,29,2,24,80,5,3,71,165,0.217,0.31,0.407,0.717,95.0,225,12,6,0,6,1,"SS,DH",adamewi01,SS,0,0,0,0,1,0,0,1
6,Jordyn Adams,23,LAA,AL,17,40,39,1,5,0,0,0,1,1,2,0,16,0.128,0.125,0.128,0.253,-31.0,5,0,0,0,1,0,OF,adamsjo03,/,0,0,0,0,0,1,0,0
7,Riley Adams,27,WSN,NL,44,158,143,8,39,13,2,4,21,0,0,11,45,0.273,0.331,0.476,0.807,120.0,68,5,2,1,1,0,"C,DH",adamsri03,C,0,0,0,1,1,0,0,0
8,Ty Adcock,26,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,adcocty01,SP,0,0,0,0,0,0,1,0
9,Jo Adell,24,LAA,AL,17,62,58,7,12,3,1,3,6,1,0,4,25,0.207,0.258,0.448,0.706,87.0,26,1,0,0,0,0,"OF,DH",adelljo01,/,0,0,0,0,1,1,0,0
10,Ehire Adrianza#,33,ATL,NL,5,11,10,0,0,0,0,0,0,0,0,1,4,0.0,0.091,0.0,0.091,-72.0,0,0,0,0,0,0,SS,adriaeh01,/,0,0,0,0,0,0,0,1
11,Jesús Aguilar,33,OAK,AL,36,115,104,8,23,2,0,5,9,0,0,8,31,0.221,0.281,0.385,0.665,89.0,40,3,1,0,1,2,"1B,DH",aguilje01,1B,1,0,0,0,1,0,0,0
12,Nick Ahmed,33,ARI,NL,72,210,198,14,42,10,1,2,17,5,1,12,52,0.212,0.257,0.303,0.56,53.0,60,0,0,0,0,0,"SS,DH",ahmedni01,SS,0,0,0,0,1,0,0,1
13,Hanser Alberto,30,CHW,AL,30,90,82,11,18,5,0,3,16,0,0,4,13,0.22,0.261,0.39,0.652,75.0,32,1,1,2,1,0,"3B,2B,1B,SP",alberha01,3B,1,1,1,0,0,0,1,0
14,Ozzie Albies#,26,ATL,NL,148,660,596,96,167,30,5,33,109,13,1,46,107,0.28,0.336,0.513,0.849,124.0,306,9,8,0,8,2,2B,albieoz01,2B,0,1,0,0,0,0,0,0
15,Scott Alexander*,33,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,SP,alexasc02,SP,0,0,0,0,0,0,1,0
16,Jorge Alfaro,30,TOT,MLB,18,52,48,2,7,4,0,1,4,0,0,2,15,0.146,0.212,0.292,0.503,31.0,14,3,2,0,0,0,"DH,C",alfarjo01,/,0,0,0,1,1,0,0,0
17,Jorge Alfaro,30,COL,NL,10,32,31,2,5,4,0,1,4,0,0,0,12,0.161,0.188,0.387,0.575,43.0,12,2,1,0,0,0,"DH,C",alfarjo01,/,0,0,0,1,1,0,0,0
18,Jorge Alfaro,30,BOS,AL,8,20,17,0,2,0,0,0,0,0,0,2,3,0.118,0.25,0.118,0.368,5.0,2,1,1,0,0,0,"C,DH",alfarjo01,/,0,0,0,1,1,0,0,0
19,Greg Allen#,30,NYY,AL,22,28,23,6,5,1,1,1,1,3,1,2,10,0.217,0.333,0.478,0.812,119.0,11,0,2,1,0,0,"OF,DH",allengr01,OF,0,0,0,0,1,1,0,0
20,Nick Allen,24,OAK,AL,106,329,303,29,67,4,2,4,20,5,1,17,52,0.221,0.263,0.287,0.55,58.0,87,8,1,6,2,0,"SS,2B,DH",allenni02,SS,0,1,0,0,1,0,0,1
21,Abraham Almonte#,34,NYM,NL,8,16,15,1,1,1,0,0,0,0,0,1,8,0.067,0.125,0.133,0.258,-28.0,2,0,0,0,0,0,"DH,OF",almonab01,/,0,0,0,0,1,1,0,0
22,Pete Alonso,28,NYM,NL,154,658,568,92,123,21,2,46,118,4,1,65,151,0.217,0.318,0.504,0.821,122.0,286,17,21,0,4,6,"1B,DH",alonspe01,1B,1,0,0,0,1,0,0,0
23,Jose Altuve,33,HOU,AL,90,410,360,76,112,21,2,17,51,14,2,44,71,0.311,0.393,0.522,0.915,151.0,188,9,5,0,1,0,"2B,DH",altuvjo01,2B,0,1,0,0,1,0,0,0
24,Jake Alu*,26,WSN,NL,51,175,159,14,36,2,1,2,16,5,1,10,42,0.226,0.282,0.289,0.571,59.0,46,2,3,1,2,0,"OF,2B,3B",aluja01,OF,0,1,1,0,0,1,0,0
