,Name,PrimaryPos,R,HR,RBI,SB,OBP,Cluster
0,CJ Abrams*,SS,83,18,64,47,0.3,4
1,José Abreu,1B,62,18,90,0,0.296,0
2,Ronald Acuna Jr.,OF,149,41,106,73,0.416,1
3,Willy Adames,SS,73,24,80,5,0.31,0
4,Ozzie Albies#,2B,96,33,109,13,0.336,1
5,Pete Alonso,1B,92,46,118,4,0.318,1
6,Jose Altuve,2B,76,17,51,14,0.393,2
7,Francisco Alvarez,C,51,25,63,2,0.284,0
8,Yordan Alvarez*,DH,77,31,97,0,0.407,3
9,Tim Anderson,SS,52,1,25,13,0.286,5
10,Elvis Andrus,2B,39,6,44,12,0.304,5
11,Orlando Arcia,SS,66,17,65,1,0.321,0
12,Nolan Arenado,3B,71,26,93,3,0.315,0
13,Randy Arozarena,OF,95,23,83,22,0.364,3
14,Luis Arraez*,2B,71,10,69,3,0.393,2
15,Javier Báez,SS,58,9,59,12,0.267,5
16,Josh Bell#,DH,52,22,74,0,0.325,0
17,Cody Bellinger*,OF,95,26,97,20,0.356,1
18,Brandon Belt*,DH,53,19,43,0,0.369,2
19,Andrew Benintendi*,OF,72,5,45,13,0.326,5
20,Jon Berti,SS,53,7,33,16,0.344,5
21,Mookie Betts,OF,126,39,107,14,0.408,1
22,Bo Bichette,SS,69,20,73,5,0.339,0
23,Charlie Blackmon*,DH,57,8,40,4,0.363,2
24,Xander Bogaerts,SS,83,19,58,19,0.35,4
25,Alec Bohm,3B,74,20,97,4,0.327,0
26,Alex Bregman,3B,103,25,98,3,0.363,3
27,Will Brennan*,OF,41,5,41,13,0.299,5
28,Jake Burger,3B,71,34,80,1,0.309,0
29,Alex Call,OF,43,8,38,9,0.307,5
30,Jeimer Candelario#,3B,77,22,70,8,0.336,0
31,Jeimer Candelario#,3B,57,16,53,6,0.342,2
32,Mark Canha,OF,51,11,62,11,0.355,2
33,Kerry Carpenter*,OF,57,20,64,6,0.34,2
34,Corbin Carroll*,OF,116,25,76,54,0.362,4
35,Triston Casas*,1B,66,24,65,0,0.367,2
36,Nick Castellanos,OF,79,29,106,11,0.311,0
37,Willi Castro#,OF,60,9,34,33,0.339,4
38,Matt Chapman,3B,66,17,54,4,0.33,2
39,Michael Conforto*,OF,58,15,58,4,0.334,2
40,William Contreras,C,86,17,78,6,0.369,3
41,Willson Contreras,C,55,20,67,6,0.358,2
42,Garrett Cooper,1B,42,17,61,0,0.304,5
43,Carlos Correa,SS,60,18,65,0,0.312,0
44,J.P. Crawford*,SS,94,19,65,2,0.38,3
45,Jake Cronenworth*,1B,54,10,48,6,0.312,5
46,J.D. Davis,3B,61,18,69,1,0.325,0
47,Bryan De La Cruz,OF,60,19,78,4,0.304,0
48,Elly De La Cruz#,SS,67,13,44,35,0.3,4
49,Rafael Devers*,3B,90,33,100,5,0.351,3
50,Elias Díaz,C,48,14,72,1,0.316,0
51,Yandy Díaz,1B,95,22,78,0,0.41,3
52,Brenton Doyle,OF,48,10,48,22,0.25,5
53,Brandon Drury,2B,61,26,83,0,0.306,0
54,Mauricio Dubón,2B,76,10,46,7,0.309,5
55,Ezequiel Duran,SS,55,14,46,8,0.324,5
56,Tommy Edman#,2B,69,13,47,27,0.307,4
57,Thairo Estrada,2B,63,14,49,23,0.315,5
58,Wilmer Flores,1B,51,23,60,0,0.355,2
59,Ty France,1B,79,12,58,1,0.337,2
60,Wander Franco#,SS,65,17,58,30,0.344,4
61,Adam Frazier*,2B,59,13,60,11,0.3,5
62,Freddie Freeman*,1B,131,29,102,23,0.41,1
63,TJ Friedl*,OF,73,18,66,27,0.352,4
64,Adolis García,OF,108,39,107,9,0.328,1
65,Luis García*,2B,61,9,50,9,0.304,5
66,Maikel Garcia,3B,59,4,50,23,0.323,5
67,Andrés Giménez*,2B,76,15,62,30,0.314,4
68,Paul Goldschmidt,1B,89,25,80,11,0.363,3
69,Yan Gomes,C,44,10,63,1,0.315,5
70,Nolan Gorman*,2B,59,27,76,7,0.328,0
71,Yasmani Grandal#,C,33,8,33,0,0.309,5
72,Riley Greene*,OF,51,11,37,7,0.349,2
73,Randal Grichuk,OF,65,16,44,2,0.321,5
74,Trent Grisham*,OF,67,13,50,15,0.315,5
75,Robbie Grossman#,OF,56,10,49,1,0.34,2
76,Vladimir Guerrero Jr.,1B,78,26,94,5,0.345,3
77,Lourdes Gurriel Jr.,OF,65,24,82,5,0.309,0
78,Ian Happ#,OF,86,21,84,14,0.36,3
79,Bryce Harper*,DH,84,21,72,11,0.401,3
80,Michael Harris II*,OF,76,18,57,20,0.331,4
81,Ke'Bryan Hayes,3B,65,15,61,10,0.309,5
82,Austin Hays,OF,76,16,67,5,0.325,0
83,Jonah Heim#,C,61,18,95,2,0.317,0
84,Gunnar Henderson*,3B,100,28,82,10,0.325,3
85,Enrique Hernández,SS,57,11,61,4,0.289,5
86,Teoscar Hernández,OF,70,26,93,7,0.305,0
87,Nico Hoerner,2B,98,9,68,43,0.346,4
88,Jonathan India,2B,78,17,61,14,0.338,2
89,Eloy Jiménez,DH,50,18,64,0,0.317,0
90,Connor Joe,OF,63,11,42,3,0.339,2
91,Nolan Jones*,OF,60,20,62,20,0.389,2
92,Aaron Judge,OF,79,37,75,3,0.406,3
93,Edouard Julien*,2B,60,16,37,3,0.381,2
94,Josh Jung,3B,75,23,70,1,0.315,0
95,Jarred Kelenic*,OF,44,11,49,13,0.327,5
96,Tony Kemp*,OF,42,5,27,15,0.303,5
97,Max Kepler*,OF,72,24,66,1,0.332,0
98,Kevin Kiermaier*,OF,58,8,36,14,0.322,5
99,Ha-Seong Kim,2B,84,17,60,38,0.351,4
100,Alejandro Kirk,C,34,8,43,0,0.334,5
101,Steven Kwan*,OF,93,5,54,21,0.34,4
102,Shea Langeliers,C,52,22,63,3,0.268,0
103,Ramón Laureano,OF,46,9,35,12,0.304,5
104,DJ LeMahieu,3B,55,15,44,2,0.327,5
105,Francisco Lindor#,SS,108,31,98,31,0.336,1
106,Brandon Lowe*,2B,58,21,68,7,0.328,0
107,Josh Lowe*,OF,71,20,83,32,0.335,4
108,Nathaniel Lowe*,1B,89,17,82,1,0.36,3
109,Manny Machado,3B,75,30,91,3,0.319,0
110,Martín Maldonado,C,33,15,36,0,0.258,5
111,Brandon Marsh*,OF,58,12,60,10,0.372,2
112,Ketel Marte#,2B,94,25,82,8,0.358,3
113,J.D. Martinez,DH,61,33,103,1,0.321,0
114,Michael Massey*,2B,42,15,55,6,0.274,5
115,Chas McCormick,OF,59,22,70,19,0.353,2
116,Andrew McCutchen,DH,55,12,43,11,0.378,2
117,Zach McKinstry*,3B,60,9,35,16,0.302,5
118,Matt McLain,SS,65,16,50,14,0.357,2
119,Ryan McMahon*,3B,80,23,70,5,0.322,0
120,Jeff McNeil*,2B,75,10,55,10,0.333,2
121,MJ Melendez*,OF,65,16,56,6,0.316,5
122,Joey Meneses,DH,71,13,89,0,0.321,0
123,Whit Merrifield,2B,66,11,67,26,0.318,4
124,Christopher Morel,DH,62,26,70,6,0.313,0
125,Ryan Mountcastle,1B,64,18,68,3,0.328,0
126,Cedric Mullins*,OF,51,15,74,19,0.305,0
127,Max Muncy*,3B,95,36,105,1,0.333,1
128,Sean Murphy,C,65,21,68,0,0.365,2
129,Josh Naylor*,1B,52,17,97,10,0.354,0
130,Brandon Nimmo*,OF,89,24,68,3,0.363,3
131,Ryan Noda*,1B,63,16,54,3,0.364,2
132,Lars Nootbaar*,OF,74,14,46,11,0.367,2
133,Shohei Ohtani*,DH,102,44,95,20,0.412,1
134,Matt Olson*,1B,127,54,139,1,0.389,1
135,James Outman*,OF,86,23,70,16,0.353,3
136,Marcell Ozuna,DH,84,40,100,0,0.346,3
137,Isaac Paredes,3B,71,31,98,1,0.352,3
138,Joc Pederson*,DH,59,15,51,0,0.348,2
139,Jeremy Peña,SS,81,10,52,13,0.324,2
140,David Peralta*,OF,47,7,55,4,0.294,5
141,Geraldo Perdomo#,SS,71,6,47,16,0.353,2
142,Salvador Perez,C,59,23,80,0,0.292,0
143,Jace Peterson*,3B,35,6,37,15,0.304,5
144,Tommy Pham,OF,55,16,68,22,0.328,4
145,Jurickson Profar#,OF,55,9,46,1,0.321,5
146,Jurickson Profar#,OF,51,8,39,1,0.316,5
147,Cal Raleigh#,C,78,30,75,0,0.306,0
148,Luke Raley*,OF,56,19,49,14,0.333,2
149,Harold Ramírez,DH,58,12,68,5,0.353,2
150,José Ramírez#,3B,87,24,80,28,0.356,4
151,J.T. Realmuto,C,70,20,63,16,0.31,0
152,Hunter Renfroe,OF,60,20,60,0,0.297,0
153,Hunter Renfroe,OF,56,19,56,0,0.304,0
154,Luis Rengifo#,2B,55,16,51,6,0.339,2
155,Bryan Reynolds#,OF,85,24,84,12,0.33,3
156,Austin Riley,3B,117,37,97,3,0.345,1
157,Anthony Rizzo*,1B,45,12,41,0,0.328,5
158,Luis Robert Jr.,OF,90,38,80,20,0.315,1
159,Julio Rodríguez,OF,102,32,103,37,0.333,1
160,Miguel Rojas,SS,49,5,31,8,0.29,5
161,Brent Rooker,DH,61,30,69,4,0.329,0
162,Amed Rosario,SS,70,6,58,15,0.305,5
163,Amed Rosario,SS,51,3,40,9,0.306,5
164,Eddie Rosario*,OF,64,21,74,3,0.305,0
165,Esteury Ruiz,OF,47,5,47,67,0.309,4
166,Keibert Ruiz#,C,55,18,67,1,0.308,0
167,Adley Rutschman#,C,84,20,80,1,0.374,3
168,Jesús Sánchez*,OF,43,14,52,3,0.327,5
169,Carlos Santana#,1B,78,23,86,6,0.318,0
170,Anthony Santander#,OF,81,28,95,5,0.325,0
171,Kyle Schwarber*,OF,108,47,104,0,0.343,1
172,Corey Seager*,SS,88,33,96,2,0.39,3
173,Marcus Semien,2B,122,29,100,14,0.348,1
174,Dominic Smith*,1B,57,12,46,1,0.326,5
175,Will Smith,C,80,19,76,3,0.359,3
176,Donovan Solano,1B,43,5,38,0,0.369,2
177,Jorge Soler,DH,77,36,75,1,0.341,3
178,Juan Soto*,OF,97,35,109,12,0.41,1
179,George Springer,OF,87,21,72,20,0.327,4
180,Giancarlo Stanton,DH,43,24,60,0,0.275,0
181,Spencer Steer,1B,74,23,86,15,0.356,3
182,Tyler Stephenson,C,59,13,56,0,0.317,5
183,Bryson Stott*,2B,78,15,62,31,0.329,4
184,Myles Straw,OF,52,1,29,20,0.301,5
185,Eugenio Suárez,3B,68,22,96,2,0.323,0
186,Jack Suwinski*,OF,63,26,74,13,0.339,0
187,Seiya Suzuki,OF,75,20,74,6,0.357,3
188,Dansby Swanson,SS,81,22,80,9,0.328,0
189,Fernando Tatis Jr.,OF,91,25,78,29,0.322,4
190,Mike Tauchman*,OF,64,8,48,7,0.363,2
191,Leody Taveras#,OF,67,14,67,14,0.312,0
192,Alek Thomas*,OF,51,9,39,9,0.273,5
193,Lane Thomas,OF,101,28,86,20,0.315,1
194,Spencer Torkelson,1B,88,31,94,3,0.313,0
195,Gleyber Torres,2B,90,25,68,13,0.347,3
196,Ezequiel Tovar,SS,79,15,73,11,0.287,0
197,Kyle Tucker*,OF,97,29,112,30,0.369,1
198,Brice Turang*,2B,46,6,34,26,0.285,5
199,Justin Turner,DH,86,23,96,4,0.345,3
200,Trea Turner,SS,102,26,76,30,0.32,4
201,Daulton Varsho*,OF,65,20,61,16,0.285,0
202,Andrew Vaughn,1B,67,21,80,0,0.314,0
203,Alex Verdugo*,OF,81,13,54,5,0.324,2
204,Matt Vierling,OF,63,10,44,6,0.329,5
205,Anthony Volpe,SS,62,21,60,24,0.283,4
206,LaMonte Wade Jr.*,1B,64,17,45,2,0.373,2
207,Christian Walker,1B,86,33,103,11,0.333,1
208,Jordan Walker,OF,51,16,51,7,0.342,2
209,Taylor Ward,OF,60,14,47,4,0.335,2
210,Joey Wiemer,OF,48,13,42,11,0.283,5
211,Bobby Witt,SS,97,30,96,49,0.319,4
212,Connor Wong,C,55,9,36,8,0.288,5
213,Christian Yelich*,OF,106,19,76,28,0.37,4
214,Masataka Yoshida*,OF,71,15,72,8,0.338,2
